FA년도,구단명,선수명,세부 포지션,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2
2016,LG,이동현,RP,9,신규,A,2015,32,60,0,60,5,5,4,4,11,0,59.1,29,65,13,0,4,20,2,55,7,4.4,0,59.1,,0.46,0.46,30000,고졸,
2017,LG,이동현,RP,,FA 1년차,,2016,33,46,0,46,4,3,2,2,5,1,43.1,26,54,13,0,5,14,3,38,3,5.4,0,43.1,,-0.03,-0.03,60000,,
2016,군 복무,이보근,SP,9,신규,A,2015,29,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,
2017,넥센,이보근,RP,9,신규,A,2016,30,67,0,67,5,7,0,2,25,4,64.2,32,69,13,3,3,27,6,56,5,4.45,0,64.2,,1.08,1.08,8400,고졸,
2018,넥센,이보근,RP,9,신규,A,2017,31,55,0,55,6,2,6,3,18,0,52.2,32,62,9,0,9,17,0,58,2,5.47,0,52.2,,0.51,0.51,15000,고졸,
2019,넥센,이보근,RP,9,신규,A,2018,32,64,0,64,7,6,0,4,24,0,61,29,66,10,2,6,14,4,54,2,4.28,0,61,,1.03,1.03,14000,고졸,
2020,키움,이보근,RP,,FA 1년차,,2019,33,19,0,19,0,2,0,1,3,0,16.2,18,29,3,2,1,4,0,12,0,9.72,0,16.2,,-0.5,-0.5,20000,,
2018,두산,이용찬,CP,9,신규,A,2017,28,68,0,68,5,5,22,2,2,0,71.2,35,83,16,1,5,27,4,57,3,4.4,0,71.2,,1.35,1.35,18000,고졸,
2019,두산,이용찬,SP,9,신규,A,2018,29,25,24,1,15,3,0,0,0,0,144,58,151,24,1,14,36,8,102,6,3.63,142,2,5.14,0.14,5.27,23500,고졸,
2020,두산,이용찬,SP,9,신규,A,2019,30,26,26,0,7,10,0,0,0,0,148.1,67,168,28,2,15,45,6,102,3,4.07,148.1,0,2.75,,2.75,39000,고졸,
2021,두산,이용찬,SP,9,신규,A,2020,31,5,5,0,1,3,0,0,0,0,26.2,25,41,8,0,7,6,0,15,1,8.44,26.2,0,-0.17,,-0.17,42000,고졸,
2022,NC,이용찬,CP,,FA 1년차,,2021,32,39,0,39,1,3,16,4,3,0,37,9,27,4,0,2,11,1,35,2,2.19,0,37,,1.41,1.41,10000,,
2012,SK,이재영,RP,8,신규,A,2011,32,21,0,21,2,0,0,,2,,29,9,19,,,3,8,0,15,0,2.79,,,,0.97,0.97,10000,대졸,
2013,SK,이재영,RP,8,신규,A,2012,33,48,0,48,6,3,1,,10,,65,31,65,,,6,35,5,46,3,4.29,,,,0.56,0.56,10000,대졸,
2014,SK,이재영,RP,8,신규,A,2013,34,44,0,44,2,4,0,1,3,0,43.2,27,39,6,0,5,24,5,35,2,5.56,0,43.2,,-0.22,-0.22,12000,대졸,
2015,SK,이재영,RP,8,신규,A,2014,35,38,0,38,1,0,0,0,4,1,48,33,45,11,1,7,28,0,42,5,6.19,0,48,,0.27,0.27,12000,대졸,
2016,SK,이재영,RP,,FA 1년차,,2015,36,26,0,26,1,0,0,0,1,0,31,16,36,12,1,4,13,3,26,1,4.65,0,31,,0.55,0.55,15000,,
2020,NC,이재학,SP,9,신규,B,2019,29,24,23,1,10,4,0,0,0,0,129.2,54,133,24,2,6,43,9,91,6,3.75,127.2,2,3.2,0.03,3.23,24500,고졸,
2021,NC,이재학,SP,9,신규,B,2020,30,19,19,0,5,6,0,0,0,0,90.2,66,105,21,1,14,43,5,61,4,6.55,90.2,0,1.01,,1.01,27500,고졸,
2022,NC,이재학,SP,9,신규,B,2021,31,17,17,0,6,6,0,0,0,0,83,48,74,16,1,14,52,6,65,3,5.2,83,0,1.65,,1.65,20000,고졸,
2023,NC,이재학,SP,9,신규,B,2022,32,26,17,9,3,8,0,0,0,0,91,48,75,14,2,5,54,8,72,6,4.75,73.2,17.1,1.34,-0.29,1.05,18000,고졸,
2024,NC,이재학,SP,,FA 1년차,,2023,33,15,13,2,5,5,0,0,0,0,67.1,34,55,5,2,6,33,5,43,7,4.54,64.1,3,1.05,0.21,1.26,20000,,
2010,롯데,이정훈,RP,9,신규,A,2009,32,57,0,57,1,3,8,,9,,74.1,25,77,,,5,28,8,50,4,3.03,,,,2.94,2.94,3600,고졸,
2011,롯데,이정훈,RP,9,신규,A,2010,33,43,0,43,3,9,1,,5,,46,35,56,,,4,19,4,27,3,6.85,,,,-0.15,-0.15,7200,고졸,
2012,넥센,이정훈,RP,9,신규,A,2011,34,44,0,44,3,3,1,,7,,52.1,22,50,,,1,19,6,31,6,3.78,,,,1.02,1.02,7200,고졸,
2013,넥센,이정훈,RP,9,신규,A,2012,35,40,0,40,4,4,1,0,8,0,44.1,23,45,,,2,17,5,32,3,4.67,,,,-0.1,-0.1,8200,고졸,
2014,넥센,이정훈,RP,,FA 1년차,,2013,36,56,0,56,5,2,1,2,11,1,69,23,69,12,3,5,24,2,29,1,3,0,69,,1.41,1.41,10000,,
2020,한화,이태양,RP,8,신규,C,2019,29,55,1,54,1,6,0,5,10,0,66.2,43,74,11,2,8,13,3,64,4,5.81,5,61.2,-0.11,-0.56,-0.68,15000,고졸,
2021,한화,이태양,RP,8,신규,C,2020,30,7,0,7,0,0,0,0,0,0,8.2,7,11,2,1,1,5,0,8,1,7.27,0,8.2,,-0.06,-0.06,14000,고졸,
2021,SK,이태양,RP,8,신규,C,2020,30,46,0,46,2,1,0,0,4,0,47.1,27,57,10,0,7,11,1,37,2,5.13,0,47.1,,0.57,0.57,14000,고졸,
2022,SSG,이태양,RP,8,신규,C,2021,31,40,14,26,5,10,0,0,4,0,103.2,66,123,23,1,25,32,1,62,2,5.73,76.2,27,0.85,-0.1,0.75,10000,고졸,
2023,SSG,이태양,SP,8,신규,C,2022,32,30,17,13,8,3,0,0,1,0,112,45,116,18,0,15,24,5,61,0,3.62,92,20,2.22,0.55,2.77,12000,고졸,
