FA년도,구단명,선수명,세부 포지션,투,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM GS,TEAM GR,TEAM W,TEAM L,TEAM S,TEAM BLSV,TEAM HD,TEAM BLHD,TEAM IP,TEAM ER,TEAM H,TEAM 2B,TEAM 3B,TEAM HR,TEAM BB,TEAM HP,TEAM SO,TEAM WP,TEAM ERA,TEAM FIP,TEAM 선발 이닝,TEAM 구원 이닝,TEAM 선발 WAR,TEAM 구원 WAR,TEAM 종합 WAR,TEAM 연봉,
2015,넥센,마정길,RP,우언,8,신규,A,2014,35,55,0,55,3,3,0,0,7,1,64,34,57,9,0,9,30,12,55,2,4.78,5.81,0,64,,1.52,1.52,8800,대졸,,,,,2,128,128,401,78,48,35,12,55,5,1131.2,660,1299,231,18,142,516,61,901,55,5.25,5.24,641.2,490,14.84,8.64,23.48,262800,
2016,넥센,마정길,RP,우언,8,신규,A,2015,36,35,0,35,0,0,0,0,0,0,37.1,21,36,9,0,4,17,6,33,1,5.06,5.07,0,37.1,,0.56,0.56,14000,대졸,,잔류,2,6.2,4,144,144,443,78,65,29,11,44,14,1286,701,1404,236,28,146,518,81,1066,85,4.91,4.76,724.1,561.2,16.69,7.25,23.95,300300,
2017,넥센,마정길,RP,우언,,FA 1년차,,2016,37,61,0,61,6,1,0,,12,,63.2,29,61,16,2,10,34,4,52,1,4.1,5.92,0,63.2,,1.36,1.36,20000,,,,,,3,144,144,464,77,66,38,17,74,9,1280.1,705,1487,249,27,152,435,68,895,50,4.96,5.05,741,539.1,16.83,10.51,27.34,332300,
2011,한화,박정진,CP,좌투,8,신규,A,2010,34,56,0,56,2,4,10,,6,,79.1,27,58,,,3,36,3,80,4,3.06,2.99,,,,2.34,2.34,3500,대졸,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,한화,박정진,RP,좌투,8,신규,A,2011,35,64,0,64,7,6,7,,16,,86,31,70,,,6,28,1,92,5,3.24,2.83,,,,2.33,2.33,7500,대졸,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,한화,박정진,RP,좌투,8,신규,A,2012,36,63,0,63,4,4,3,0,12,0,49.1,30,36,,,4,27,0,45,5,5.47,3.8,,,,-0.01,-0.01,13000,대졸,,,,,8,133,133,417,53,77,29,,54,,1172.1,594,1148,,,106,488,68,936,82,4.56,3.91,,,10.52,-0.44,10.08,214200,
2014,한화,박정진,RP,좌투,8,신규,A,2013,37,30,0,30,1,5,1,2,6,0,21.2,14,17,4,0,2,14,1,21,6,5.82,4.62,0,21.2,,0.07,0.07,14000,대졸,,잔류,2,8,9,128,128,410,42,85,22,8,34,11,1129,667,1195,227,32,98,532,95,822,89,5.32,4.61,609.1,519.2,4.24,1.74,5.98,141400,
2015,한화,박정진,CP,좌투,4,FA 1년차,A,2014,38,60,0,60,4,4,9,2,7,0,49.1,33,54,14,1,5,25,1,51,1,6.02,4.45,0,49.1,,0.48,0.48,20000,고졸,,,,,9,128,128,402,49,77,26,12,30,9,1129,796,1451,265,48,162,537,81,748,83,6.35,5.84,621.1,507.2,6.84,1.05,7.89,261200,
2016,한화,박정진,RP,좌투,4,재자격,A,2015,39,76,0,76,6,1,1,1,15,4,96,33,84,12,1,8,39,5,92,7,3.09,4.08,0,96,,2.22,2.22,20000,고졸,,,,,6,144,144,528,68,76,32,14,44,7,1279.2,727,1349,232,12,157,648,96,920,85,5.11,5.44,667,612.2,12.4,6.54,18.94,441500,
2017,한화,박정진,RP,좌투,4,재자격,A,2016,40,77,1,76,4,4,0,1,6,1,84,52,96,14,1,11,33,2,85,9,5.57,4.49,1,83,0,0.43,0.43,30000,고졸,,,,,7,144,144,536,66,75,24,13,39,14,1292.2,827,1520,230,15,155,634,76,976,72,5.76,5.44,587,705.2,7.02,8.22,15.23,655500,
2018,한화,박정진,RP,좌투,4,재자격,A,2017,41,55,0,55,3,2,1,0,7,0,48,21,38,6,0,6,24,3,51,3,3.94,4.78,0,48,,0.7,0.7,33000,고졸,,은퇴,,,8,144,144,490,61,81,31,21,49,10,1273,747,1474,278,16,166,446,100,914,77,5.28,5.17,736.1,536.2,12.5,3.25,15.75,679200,
2019,은퇴,박정진,SP,좌투,,FA 1년차,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,은퇴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,삼성,배영수,SP,우투,4,재자격,A,2011,30,25,17,8,6,8,0,0,1,0,103,62,127,,,5,27,6,47,5,5.42,4.02,,,0.06,0.19,0.25,40000,고졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,배영수,SP,우투,4,재자격,A,2012,31,26,25,1,12,8,0,0,0,0,160,57,159,,,7,39,3,89,5,3.21,3.41,,,3.39,0.12,3.51,40000,고졸,,,,,1,133,133,389,80,51,39,,71,,1187.2,448,1085,,,65,384,37,885,46,3.39,3.31,,,14.32,12.54,26.86,269000,
2014,삼성,배영수,SP,우투,4,재자격,A,2013,32,27,26,1,14,4,0,0,0,0,151,79,193,33,5,9,38,14,101,5,4.71,3.9,150,1,1.91,0.04,1.95,45000,고졸,,,,,1,128,128,380,75,51,31,7,49,5,1146.2,507,1119,194,21,98,411,60,955,44,3.98,3.98,750,396.2,15.08,6.1,21.18,300800,
2015,삼성,배영수,SP,우투,4,재자격,A,2014,33,25,24,1,8,6,0,0,0,0,133.2,81,171,39,7,14,39,5,111,4,5.45,4.42,133.2,0,2.36,,2.36,55000,고졸,,이적,3,21,1,128,128,415,78,47,35,18,65,2,1144,575,1217,257,24,120,395,61,996,51,4.52,4.48,737.1,406.2,21.11,5.64,26.76,430500,
2016,한화,배영수,SP,우투,,FA 1년차,,2015,34,32,21,11,4,11,0,1,1,0,101,79,124,19,1,21,39,14,56,6,7.04,6.81,85,16,-0.11,0.09,-0.02,55000,,,,,,6,144,144,528,68,76,32,14,44,7,1279.2,727,1349,232,12,157,648,96,920,85,5.11,5.44,667,612.2,12.4,6.54,18.94,441500,
2019,삼성,백정현,SP,좌투,9,신규,B,2018,31,25,23,2,7,7,1,0,0,0,125.2,64,142,27,2,18,36,3,99,2,4.58,5.04,120,5.2,3.13,0.23,3.36,15500,고졸,,,,,6,144,144,473,68,72,33,17,56,8,1285.1,741,1477,291,18,185,441,107,1114,45,5.19,5.16,750.2,534.2,14.24,12.44,26.68,482300,
2020,삼성,백정현,SP,좌투,9,신규,B,2019,32,28,27,1,8,10,0,0,0,0,157,74,158,29,4,17,56,6,82,4,4.24,5.02,153.2,3.1,3.08,-0.17,2.91,21000,고졸,,,,,8,144,144,483,60,83,29,15,60,4,1275.1,658,1332,253,37,125,523,70,924,49,4.64,4.5,763.2,511.2,11.09,6.22,17.31,442100,
2021,삼성,백정현,SP,좌투,9,신규,B,2020,33,11,11,0,4,4,0,0,0,0,59,34,67,15,2,13,17,1,46,1,5.19,5.61,59,0,0.32,,0.32,28000,고졸,,,,,8,144,144,554,64,75,25,19,80,4,1272.1,676,1330,222,16,151,542,67,931,55,4.78,4.95,770.2,501.2,20.59,5.38,25.97,522000,
2022,삼성,백정현,SP,좌투,9,신규,B,2021,34,27,27,0,14,5,0,0,0,0,157.2,46,142,25,1,15,54,2,109,5,2.63,4.23,157.2,0,6.2,,6.2,25500,고졸,,잔류,4,38,3,144,143,532,76,59,46,13,80,4,1259,601,1297,230,24,131,530,51,1038,58,4.3,4.22,769.2,489.1,21.25,5.69,26.94,521500,
2023,삼성,백정현,SP,좌투,,FA 1년차,,2022,35,24,24,0,4,13,0,0,0,0,124.2,73,154,27,2,22,37,9,70,9,5.27,5.62,124.2,0,1.51,,1.51,80000,,,,,,7,144,144,542,66,76,34,21,71,5,1287,613,1370,251,15,129,478,66,971,47,4.29,4.33,791,496,17.69,3.56,21.26,590300,
2014,LG,봉중근,CP,좌투,9,신규,A,2013,33,55,0,55,8,1,38,3,0,0,61,9,44,8,0,2,27,3,54,3,1.33,3.4,0,61,,2.95,2.95,15000,고졸,,,,,3,128,128,451,74,54,42,11,86,8,1134.2,469,1131,183,20,74,406,87,822,46,3.72,4,706,428.2,16.51,7.11,23.63,153900,
2015,LG,봉중근,CP,좌투,9,신규,A,2014,34,50,0,50,2,4,30,6,0,0,49.2,16,51,7,0,2,17,4,45,6,2.9,3.78,0,49.2,,2.15,2.15,45000,고졸,,,,,4,128,128,446,62,64,35,21,65,4,1142.2,582,1211,195,27,104,419,95,810,51,4.58,4.88,673.1,469.1,13.29,9.64,22.93,307900,
2016,LG,봉중근,CP,좌투,9,신규,A,2015,35,47,2,45,5,2,15,5,0,0,49.1,27,60,6,0,10,23,6,39,3,4.93,6.1,8.1,41,0.09,-0.41,-0.32,45000,고졸,,,,,9,144,144,472,64,78,25,15,44,8,1279.2,657,1352,227,26,125,490,98,1063,82,4.62,4.5,779.1,500.1,16.31,4.55,20.86,323300,
2017,LG,봉중근,RP,좌투,9,신규,A,2016,36,19,5,14,1,0,0,2,2,0,36.1,20,41,9,0,4,22,2,20,0,4.95,6.22,18.2,17.2,0.54,0.08,0.62,30000,고졸,,잔류,2,15,4,144,144,532,71,71,34,16,75,12,1287.2,721,1426,243,23,122,539,109,909,84,5.04,5.08,745.1,542.1,13.22,5,18.21,409600,
2018,은퇴,봉중근,,좌투,,FA 1년차,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,은퇴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,넥센,손승락,CP,우투,8,신규,A,2012,30,53,0,53,3,2,33,,0,,50.1,12,50,,,2,15,0,47,2,2.15,2.43,,,,1.88,1.88,18000,대졸,,,,,6,133,133,360,61,69,36,,34,,1187.1,505,1131,,,80,535,74,853,62,3.83,4.03,,,13.34,4.43,17.77,72700,
2014,넥센,손승락,CP,우투,8,신규,A,2013,31,57,0,57,3,2,46,5,0,0,62.2,16,50,7,2,1,20,1,52,4,2.3,2.81,0,62.2,,2.7,2.7,26000,대졸,,,,,4,128,128,413,72,54,50,12,70,3,1146.1,525,1160,202,21,75,503,84,860,52,4.12,4.26,680,466.1,13.57,8.96,22.54,99600,
2015,넥센,손승락,CP,우투,8,신규,A,2014,32,62,0,62,3,5,32,6,0,0,62.1,30,69,12,0,6,11,2,53,3,4.33,3.92,0,62.1,,1.54,1.54,43000,대졸,,,,,2,128,128,401,78,48,35,12,55,5,1131.2,660,1299,231,18,142,516,61,901,55,5.25,5.24,641.2,490,14.84,8.64,23.48,262800,
2016,넥센,손승락,CP,우투,8,신규,A,2015,33,58,0,58,4,6,23,6,0,0,61.1,26,73,7,1,6,13,3,63,1,3.82,3.4,0,61.1,,0.49,0.49,53000,대졸,,이적,4,60,4,144,144,443,78,65,29,11,44,14,1286,701,1404,236,28,146,518,81,1066,85,4.91,4.76,724.1,561.2,16.69,7.25,23.95,300300,
2017,롯데,손승락,CP,우투,4,FA 1년차,A,2016,34,48,0,48,7,3,20,6,0,0,50.2,24,61,6,1,5,24,3,48,5,4.26,4.52,0,50.2,,1.42,1.42,70000,고졸,,,,,8,144,144,523,66,78,27,18,59,9,1266.1,792,1486,276,32,161,585,78,1009,82,5.63,5.22,753,513.1,13.43,5.9,19.33,529100,
2018,롯데,손승락,CP,우투,4,재자격,A,2017,35,61,0,61,1,3,37,5,0,0,62,15,59,3,1,7,11,1,62,0,2.18,3.55,0,62,,2.79,2.79,70000,고졸,,,,,3,144,144,479,80,62,39,21,59,10,1287.1,652,1357,245,20,162,477,79,1096,67,4.56,4.84,785.1,502,22.45,8.8,31.25,469300,
2019,롯데,손승락,CP,우투,4,재자격,A,2018,36,57,0,57,3,5,28,6,0,0,57.2,25,53,13,0,1,20,1,60,2,3.9,2.92,0,57.2,,2.49,2.49,70000,고졸,,,,,7,144,144,542,68,74,29,22,64,9,1283.2,766,1410,295,26,166,548,73,1164,65,5.37,5.03,740.1,543.1,13.75,8.35,22.1,512300,
2020,롯데,손승락,CP,우투,4,재자격,A,2019,37,53,0,53,4,3,9,4,2,1,52.2,23,55,9,1,3,19,3,44,2,3.93,3.58,0,52.2,,0.85,0.85,70000,고졸,,은퇴,,,10,144,144,520,48,93,16,17,47,4,1271,682,1407,242,20,120,546,71,1033,103,4.83,4.28,713.2,557.1,9.49,2.68,12.17,552500,
2021,은퇴,손승락,,우투,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,은퇴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,롯데,송승준,SP,우투,9,신규,A,2012,32,28,28,0,7,11,0,,0,,163,60,158,,,12,57,8,117,5,3.31,3.8,,,2.96,,2.96,30000,고졸,,,,,4,133,133,465,65,62,39,,63,,1190.1,461,1145,,,74,469,53,825,65,3.49,3.78,,,13.79,10.25,24.04,260700,
2014,롯데,송승준,SP,우투,9,신규,A,2013,33,29,29,0,12,6,0,0,0,0,167.2,70,171,32,3,11,64,4,133,4,3.76,3.85,167.2,0,4.78,,4.78,31000,고졸,,,,,5,128,128,409,66,58,38,21,64,2,1149.1,503,1148,180,13,84,489,62,820,45,3.94,4.33,707,442.1,17.78,5.67,23.45,207800,
2015,롯데,송승준,SP,우투,9,신규,A,2014,34,24,23,1,8,11,0,0,0,0,122,82,166,29,4,16,43,10,89,4,6.05,5.34,117.2,4.1,1.68,0.23,1.91,36000,고졸,,,,,7,128,128,425,58,69,28,14,64,2,1133.1,655,1310,250,26,127,470,53,781,54,5.2,5.19,689.1,444,16.19,6.83,23.03,316600,
2016,롯데,송승준,SP,우투,9,신규,A,2015,35,25,23,2,8,7,0,0,0,0,125,66,131,19,1,17,46,4,112,8,4.75,4.69,120.2,4.1,2.71,0.29,3,34000,고졸,,잔류,4,40,8,144,144,474,66,77,19,18,47,9,1281.1,721,1461,253,13,164,489,87,1015,89,5.06,4.93,762.2,518.2,18.75,3.59,22.34,404700,
2017,롯데,송승준,SP,우투,,FA 1년차,,2016,36,10,10,0,1,2,0,0,0,0,41.1,40,62,9,1,6,21,2,35,4,8.71,5.58,41.1,0,-0.08,,-0.08,40000,,,,,,8,144,144,523,66,78,27,18,59,9,1266.1,792,1486,276,32,161,585,78,1009,82,5.63,5.22,753,513.1,13.43,5.9,19.33,529100,
2012,SK,송은범,RP,우투,9,신규,A,2011,27,38,11,27,8,8,1,,4,,78.2,30,71,,,10,45,2,55,5,3.43,5.12,,,1.36,0.22,1.58,22000,고졸,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,SK,송은범,SP,우투,9,신규,A,2012,28,20,19,1,8,3,0,,0,,97.2,45,98,,,6,44,2,72,4,4.15,3.83,,,1.25,0.05,1.3,24000,고졸,,,,,2,133,133,416,71,59,40,,69,,1181.1,502,1114,,,90,457,70,814,35,3.82,3.93,,,10.76,7.91,18.67,249200,
2014,KIA,송은범,CP,우투,9,신규,A,2013,29,41,4,37,1,7,5,3,6,0,,40,71,15,2,4,27,0,29,9,7.35,4.94,15.2,33.1,-0.18,-0.18,-0.36,24000,고졸,,,,,8,128,128,423,51,74,32,12,50,6,1142.1,650,1307,259,28,88,533,75,923,73,5.12,4.28,682.1,460,12.23,3.32,15.54,221400,
2015,KIA,송은범,RP,우투,9,신규,A,2014,30,27,11,16,4,8,0,0,0,0,78.2,64,114,16,5,11,43,5,60,12,7.32,5.9,52.2,26,0.27,-0.34,-0.08,30000,고졸,,이적,4,34,8,128,128,379,54,74,26,21,40,2,1121.2,725,1289,252,32,116,561,67,896,78,5.82,5.07,644.1,477.1,11.23,3.67,14.9,220600,
2017,한화,송은범,SP,우투,4,재자격,A,2016,32,30,27,3,2,11,0,0,1,0,122,87,159,21,1,13,49,5,85,11,6.42,5.14,118,4,1.41,-0.2,1.21,45000,고졸,,,,,7,144,144,536,66,75,24,13,39,14,1292.2,827,1520,230,15,155,634,76,976,72,5.76,5.44,587,705.2,7.02,8.22,15.23,655500,
2018,한화,송은범,RP,우투,4,재자격,A,2017,33,13,6,7,0,4,1,0,0,1,37.1,27,45,4,0,4,23,3,15,1,6.51,6.64,27.1,10,0.4,-0.28,0.12,45000,고졸,,,,,8,144,144,490,61,81,31,21,49,10,1273,747,1474,278,16,166,446,100,914,77,5.28,5.17,736.1,536.2,12.5,3.25,15.75,679200,
2019,한화,송은범,RP,우투,4,재자격,A,2018,34,68,0,68,7,4,1,3,10,1,79.1,22,77,9,1,2,33,5,61,8,2.5,4.21,0,79.1,,2.77,2.77,45000,고졸,,,,,3,144,144,541,77,67,37,13,62,5,1274,698,1394,246,13,164,472,89,1124,78,4.93,4.95,723.2,550.1,12.89,10.69,23.58,569900,
2020,LG,송은범,RP,우투,4,재자격,A,2019,35,63,0,63,2,6,1,0,9,0,,35,80,5,2,6,23,3,36,3,5.25,4.64,0,60,,-0.11,-0.11,25000,고졸,,잔류,2,10,4,144,144,455,79,64,43,13,62,3,1283.1,551,1257,223,23,89,499,91,953,64,3.86,4.13,786,497.1,13.04,7.37,20.42,434700,
2021,LG,송은범,RP,우투,,FA 1년차,,2020,36,56,1,55,4,2,2,0,6,0,56,28,66,8,1,4,19,3,28,2,4.5,4.81,2.1,53.2,-0.33,0.91,0.58,27000,,,,,,4,144,144,509,79,61,29,19,67,4,1292.2,627,1344,240,17,123,493,86,1019,49,4.37,4.51,797,495.2,17.24,6.56,23.81,503500,
2013,넥센,심수창,RP,우투,8,신규,A,2012,31,21,3,18,0,5,0,,0,,40.2,33,58,,,3,21,2,24,2,7.3,4.57,,,-0.36,-0.34,-0.7,6500,대졸,,,,,6,133,133,360,61,69,36,,34,,1187.1,505,1131,,,80,535,74,853,62,3.83,4.03,,,13.34,4.43,17.77,72700,
2014,넥센,심수창,SP,우투,8,신규,A,2013,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,대졸,1군 기록 없음,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,롯데,심수창,CP,우투,8,신규,A,2014,33,11,0,11,0,0,2,0,0,0,19.2,20,24,5,1,7,8,0,14,1,9.15,7.97,0,19.2,,0.03,0.03,5500,대졸,,,,,7,128,128,425,58,69,28,14,64,2,1133.1,655,1310,250,26,127,470,53,781,54,5.2,5.19,689.1,444,16.19,6.83,23.03,316600,
2016,롯데,심수창,CP,우투,8,신규,A,2015,34,39,6,33,4,6,5,2,3,0,73.1,49,99,14,0,9,29,3,76,14,6.01,4.23,26.1,47,-0.17,0.23,0.05,5500,대졸,,이적,4,13,8,144,144,474,66,77,19,18,47,9,1281.1,721,1461,253,13,164,489,87,1015,89,5.06,4.93,762.2,518.2,18.75,3.59,22.34,404700,
2017,한화,심수창,RP,우투,,FA 1년차,,2016,35,66,10,56,5,5,2,0,6,0,113.1,75,138,23,1,14,58,4,76,6,5.96,5.68,32.2,80.2,0,0.33,0.33,25000,,,,,,7,144,144,536,66,75,24,13,39,14,1292.2,827,1520,230,15,155,634,76,976,72,5.76,5.44,587,705.2,7.02,8.22,15.23,655500,
2015,한화,안영명,RP,우투,9,신규,A,2014,30,48,6,42,7,6,4,1,6,3,97.2,49,114,20,3,8,36,13,64,3,4.52,5.11,31,66.2,-0.24,1.91,1.68,11500,고졸,,,,,9,128,128,402,49,77,26,12,30,9,1129,796,1451,265,48,162,537,81,748,83,6.35,5.84,621.1,507.2,6.84,1.05,7.89,261200,
2016,한화,안영명,SP,우투,9,신규,A,2015,31,35,27,8,10,6,0,0,1,0,125.1,71,137,23,1,15,60,11,82,4,5.1,5.61,114.1,11,2.48,0.16,2.64,15500,고졸,,,,,6,144,144,528,68,76,32,14,44,7,1279.2,727,1349,232,12,157,648,96,920,85,5.11,5.44,667,612.2,12.4,6.54,18.94,441500,
2017,한화,안영명,SP,우투,9,신규,A,2016,32,2,1,1,0,1,0,0,0,0,2.2,6,9,3,0,0,4,0,1,0,20.25,7.95,2,0.2,-0.33,-0.13,-0.47,28000,고졸,,,,,7,144,144,536,66,75,24,13,39,14,1292.2,827,1520,230,15,155,634,76,976,72,5.76,5.44,587,705.2,7.02,8.22,15.23,655500,
2018,한화,안영명,SP,우투,9,신규,A,2017,33,25,16,9,1,8,0,1,0,0,87.2,56,123,30,2,11,28,5,54,5,5.75,5.16,75.1,12.1,0.62,0.05,0.66,20000,고졸,,잔류,2,12,8,144,144,490,61,81,31,21,49,10,1273,747,1474,278,16,166,446,100,914,77,5.28,5.17,736.1,536.2,12.5,3.25,15.75,679200,
2019,한화,안영명,RP,우투,,FA 1년차,,2018,34,53,1,52,8,2,0,1,8,0,66,42,83,10,0,12,15,4,48,4,5.73,5.54,5,61,0.1,0.81,0.91,35000,,,,,,3,144,144,541,77,67,37,13,62,5,1274,698,1394,246,13,164,472,89,1124,78,4.93,4.95,723.2,550.1,12.89,10.69,23.58,569900,
2012,삼성,안지만,RP,우투,9,신규,A,2011,28,47,5,42,11,5,0,,17,,86,27,74,,,3,20,4,77,2,2.83,2.67,,,0.64,2.02,2.66,17000,고졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,안지만,RP,우투,9,신규,A,2012,29,56,0,56,1,2,0,,28,,63.1,12,42,,,1,20,0,58,1,1.71,2.27,,,,2.9,2.9,25000,고졸,,,,,1,133,133,389,80,51,39,,71,,1187.2,448,1085,,,65,384,37,885,46,3.39,3.31,,,14.32,12.54,26.86,269000,
2014,삼성,안지만,RP,우투,9,신규,A,2013,30,54,0,54,6,2,0,3,22,3,63.2,22,46,8,1,3,23,3,60,5,3.11,3.17,0,63.2,,1.23,1.23,30000,고졸,,,,,1,128,128,380,75,51,31,7,49,5,1146.2,507,1119,194,21,98,411,60,955,44,3.98,3.98,750,396.2,15.08,6.1,21.18,300800,
2015,삼성,안지만,RP,우투,9,신규,A,2014,31,55,0,55,6,3,1,4,27,0,62.1,26,51,9,0,5,30,4,67,4,3.75,4.11,0,62.1,,1.63,1.63,41000,고졸,,잔류,4,65,1,128,128,415,78,47,35,18,65,2,1144,575,1217,257,24,120,395,61,996,51,4.52,4.48,737.1,406.2,21.11,5.64,26.76,430500,
2016,삼성,안지만,RP,우투,,FA 1년차,,2015,32,66,0,66,4,3,0,,37,,78.1,29,76,18,2,8,26,2,96,2,3.33,3.27,0,78.1,,2.52,2.52,75000,,,,,,2,144,144,433,88,56,34,10,60,4,1275.1,665,1323,270,17,182,423,64,1194,44,4.69,4.54,850,425.1,18.76,8.1,26.86,490700,
2014,KIA,양현종,SP,좌투,9,신규,A,2013,25,19,17,2,9,3,0,0,0,0,104.2,36,99,14,1,10,43,6,95,3,3.1,4.12,97.1,7.1,3.77,0.57,4.34,9000,고졸,,,,,8,128,128,423,51,74,32,12,50,6,1142.1,650,1307,259,28,88,533,75,923,73,5.12,4.28,682.1,460,12.23,3.32,15.54,221400,
2015,KIA,양현종,SP,좌투,9,신규,A,2014,26,29,29,0,16,8,0,0,0,0,171.1,81,162,30,6,12,77,4,165,5,4.25,4.13,171.1,0,5.63,,5.63,12000,고졸,,,,,8,128,128,379,54,74,26,21,40,2,1121.2,725,1289,252,32,116,561,67,896,78,5.82,5.07,644.1,477.1,11.23,3.67,14.9,220600,
2016,KIA,양현종,SP,좌투,9,신규,A,2015,27,32,31,1,15,6,0,0,1,0,184.1,50,150,27,2,18,78,7,157,6,2.44,4.56,184,0.1,8.97,0.04,9.01,40000,고졸,,,,,7,144,144,484,67,77,32,17,65,5,1273,678,1371,252,31,143,572,98,979,80,4.79,5,704.1,568.2,15.43,7.21,22.63,407200,
2017,KIA,양현종,SP,좌투,9,신규,A,2016,28,31,31,0,10,12,0,0,0,0,200.1,82,191,31,2,19,77,2,146,6,3.68,4.77,200.1,0,6.19,,6.19,75000,고졸,,잔류,1,22.5,5,144,144,491,70,73,38,21,74,6,1276,705,1456,230,23,131,561,59,965,69,4.97,4.97,769,507,17.29,5.06,22.34,597100,
2018,KIA,양현종,SP,좌투,4,재자격,B,2017,29,31,31,0,20,6,0,0,0,0,193.1,74,209,32,2,17,45,0,158,14,3.44,3.93,193.1,0,6.17,,6.17,150000,고졸,,,,,1,144,144,438,87,56,33,18,46,7,1290,687,1518,255,21,137,434,77,985,69,4.79,4.71,818.1,471.2,22.39,2.99,25.39,581400,
2019,KIA,양현종,SP,좌투,4,재자격,B,2018,30,29,29,0,13,11,0,0,0,0,184.1,85,199,33,0,21,43,2,152,5,4.15,4.4,184.1,0,5.83,,5.83,230000,고졸,,,,,5,144,144,431,70,74,26,20,43,8,1270.2,763,1511,271,17,181,445,69,1017,65,5.4,5.14,748,522.2,12.07,7.13,19.2,779900,
2020,KIA,양현종,SP,좌투,4,재자격,B,2019,31,29,29,0,16,8,0,0,0,0,184.2,47,165,32,1,6,33,2,163,1,2.29,2.58,184.2,0,7.53,,7.53,230000,고졸,,,,,7,144,144,459,62,80,30,14,64,5,1264,653,1362,257,24,101,504,76,976,51,4.65,4.12,773.2,490.1,11.03,5.11,16.14,508600,
2021,KIA,양현종,SP,좌투,4,재자격,B,2020,32,31,31,0,11,10,0,0,0,0,172.1,90,180,40,4,13,64,5,149,7,4.7,3.97,172.1,0,3.9,,3.9,230000,고졸,,미국,,,6,144,144,495,73,71,33,18,79,2,1270,724,1399,265,34,120,559,70,1038,79,5.13,4.5,768.2,501.1,17.07,1.89,18.96,470700,
2022,미국,양현종,,좌투,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,미국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,삼성,오승환,CP,우투,8,신규,A,2010,28,16,0,16,0,0,4,,0,,14,7,13,,,4,5,0,19,1,4.5,4.85,,,,0.32,0.32,26000,대졸,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,삼성,오승환,CP,우투,8,신규,A,2011,29,54,0,54,1,0,47,,0,,57,4,27,,,2,11,0,76,1,0.63,1.31,,,,3.78,3.78,24000,대졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,오승환,CP,우투,8,신규,A,2012,30,50,0,50,2,1,37,0,0,0,55.2,12,33,,,1,13,3,81,2,1.94,0.73,,,,2.36,2.36,38000,대졸,,,,,1,133,133,389,80,51,39,,71,,1187.2,448,1085,,,65,384,37,885,46,3.39,3.31,,,14.32,12.54,26.86,269000,
2014,삼성,오승환,CP,우투,8,신규,A,2013,31,48,0,48,4,1,28,2,0,0,51.2,10,33,7,1,4,10,2,54,0,1.74,2.83,0,51.2,,1.69,1.69,55000,대졸,,일본,,,1,128,128,380,75,51,31,7,49,5,1146.2,507,1119,194,21,98,411,60,955,44,3.98,3.98,750,396.2,15.08,6.1,21.18,300800,
2015,일본,오승환,,우투,,FA 1년차,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,삼성,오승환,CP,우투,4,신규,C,2020,38,45,0,45,3,2,18,4,2,0,47.2,14,44,10,1,2,15,2,39,1,2.64,3.55,0,47.2,,2.14,2.14,120000,신규 35세 해외 복귀,,,,,8,144,144,554,64,75,25,19,80,4,1272.1,676,1330,222,16,151,542,67,931,55,4.78,4.95,770.2,501.2,20.59,5.38,25.97,522000,
2022,삼성,오승환,CP,우투,4,신규,C,2021,39,64,0,64,0,2,44,1,0,0,62,14,56,15,3,3,16,2,57,2,2.03,2.79,0,62,,2.7,2.7,110000,신규 35세 해외 복귀,,,,,3,144,143,532,76,59,46,13,80,4,1259,601,1297,230,24,131,530,51,1038,58,4.3,4.22,769.2,489.1,21.25,5.69,26.94,521500,
